UID         PID   PPID  C STIME TTY          TIME CMD
root      53449      2  0 Jun06 ?        00:00:00 [kworker/25:1H]
root      53490      2  0 03:22 ?        00:00:02 [kworker/36:1]
root      53660      2  0 Jun06 ?        00:00:00 [kworker/44:1H]
root      53709      2  0 03:28 ?        00:00:25 [kworker/23:0]
root      53933      2  0 Jun06 ?        00:00:00 [kworker/30:1H]
root      54949      2  0 Jun06 ?        00:00:00 [kworker/39:1H]
root      55397      2  0 Jun06 ?        00:00:00 [kworker/46:1H]
root      56266      2  0 Jun06 ?        00:00:00 [kworker/40:1H]
root      57882      2  0 Jun06 ?        00:00:00 [kworker/37:1H]
root      58873      2  0 Jun06 ?        00:00:00 [kworker/47:1H]
root      68167      2  0 07:59 ?        00:00:01 [kworker/u544:2]
